  Time                 , V(U3:OUT)            
  6.285588116837e-02  ,1.287858576866e-01  
  6.295588116837e-02  ,1.267380283205e-01  
  6.305588116837e-02  ,1.241900331831e-01  
  6.315588116837e-02  ,1.211519280538e-01  
  6.325588116837e-02  ,1.176357029342e-01  
  6.335588116837e-02  ,1.136552347464e-01  
  6.345588116837e-02  ,1.092262326093e-01  
  6.355588116837e-02  ,1.043661757414e-01  
  6.365588116837e-02  ,9.909424459325e-02  
  6.375588116837e-02  ,9.343124504599e-02  
  6.385588116837e-02  ,8.739952637534e-02  
  6.395588116837e-02  ,8.102289304469e-02  
  6.405588116837e-02  ,7.432651068451e-02  
  6.415588116837e-02  ,6.733680689177e-02  
  6.425588116837e-02  ,6.008136677450e-02  
  6.435588116837e-02  ,5.258882431812e-02  
  6.445588116837e-02  ,4.488874909307e-02  
  6.455588116837e-02  ,3.701152980670e-02  
  6.465588116837e-02  ,2.898825424502e-02  
  6.475588116837e-02  ,2.085058660482e-02  
  6.485588116837e-02  ,1.263064253862e-02  
  6.495588116837e-02  ,4.360862429151e-03  
  6.505588116837e-02  ,-3.926116671290e-03  
  6.515588116837e-02  ,-1.219758989434e-02  
  6.525588116837e-02  ,-2.042091345229e-02  
  6.535588116837e-02  ,-2.856363367681e-02  
  6.545588116837e-02  ,-3.659361497612e-02  
  6.555588116837e-02  ,-4.447916667137e-02  
  6.565588116837e-02  ,-5.218916808670e-02  
  6.575588116837e-02  ,-5.969319139505e-02  
  6.585588116837e-02  ,-6.696162160205e-02  
  6.595588116837e-02  ,-7.396577356338e-02  
  6.605588116837e-02  ,-8.067800509319e-02  
  6.615588116837e-02  ,-8.707182608402e-02  
  6.625588116837e-02  ,-9.312200301115e-02  
  6.635588116837e-02  ,-9.880465863625e-02  
  6.645588116837e-02  ,-1.040973660737e-01  
  6.655588116837e-02  ,-1.089792374468e-01  
  6.665588116837e-02  ,-1.134310062569e-01  
  6.675588116837e-02  ,-1.174351033736e-01  
  6.685588116837e-02  ,-1.209757264388e-01  
  6.695588116837e-02  ,-1.240389022924e-01  
  6.705588116837e-02  ,-1.266125419275e-01  
  6.715588116837e-02  ,-1.286864883956e-01  
  6.725588116837e-02  ,-1.302525567392e-01  
  6.735588116837e-02  ,-1.313045664424e-01  
  6.745588116837e-02  ,-1.318383656875e-01  
  6.755588116837e-02  ,-1.318518478034e-01  
  6.765588116837e-02  ,-1.313449595991e-01  
  6.775588116837e-02  ,-1.303197015369e-01  
  6.785588116837e-02  ,-1.287801198012e-01  
  6.795588116837e-02  ,-1.267322904665e-01  
  6.805588116837e-02  ,-1.241842953531e-01  
  6.815588116837e-02  ,-1.211461902311e-01  
  6.825588116837e-02  ,-1.176299651071e-01  
  6.835588116837e-02  ,-1.136494969572e-01  
  6.845588116837e-02  ,-1.092204948043e-01  
  6.855588116837e-02  ,-1.043604379740e-01  
  6.865588116837e-02  ,-9.908850683970e-02  
  6.875588116837e-02  ,-9.342550730161e-02  
  6.885588116837e-02  ,-8.739378867448e-02  
  6.895588116837e-02  ,-8.101715533618e-02  
  6.905588116837e-02  ,-7.432077299816e-02  
  6.915588116837e-02  ,-6.733106914903e-02  
  6.925588116837e-02  ,-6.007562906727e-02  
  6.935588116837e-02  ,-5.258308655115e-02  
  6.945588116837e-02  ,-4.488301129780e-02  
  6.955588116837e-02  ,-3.700579201590e-02  
  6.965588116837e-02  ,-2.898251643276e-02  
  6.975588116837e-02  ,-2.084484879170e-02  
  6.985588116837e-02  ,-1.262490472211e-02  
  6.995588116837e-02  ,-4.355124597647e-03  
  7.005588116837e-02  ,3.931854536967e-03  
  7.015588116837e-02  ,1.220332774914e-02  
  7.025588116837e-02  ,2.042665132998e-02  
  7.035588116837e-02  ,2.856937158549e-02  
  7.045588116837e-02  ,3.659935289004e-02  
  7.055588116837e-02  ,4.448490458283e-02  
  7.065588116837e-02  ,5.219490602668e-02  
  7.075588116837e-02  ,5.969892931876e-02  
  7.085588116837e-02  ,6.696735956551e-02  
  7.095588116837e-02  ,7.397151154121e-02  
  7.105588116837e-02  ,8.068374308827e-02  
  7.115588116837e-02  ,8.707756407043e-02  
  7.125588116837e-02  ,9.312774100434e-02  
  7.135588116837e-02  ,9.881039662476e-02  
  7.145588116837e-02  ,1.041031040824e-01  
  7.155588116837e-02  ,1.089849754470e-01  
  7.165588116837e-02  ,1.134367442331e-01  
  7.175588116837e-02  ,1.174408413337e-01  
  7.185588116837e-02  ,1.209814644233e-01  
  7.195588116837e-02  ,1.240446402582e-01  
  7.205588116837e-02  ,1.266182798863e-01  
  7.215588116837e-02  ,1.286922263424e-01  
  7.225588116837e-02  ,1.302582946971e-01  
  7.235588116837e-02  ,1.313103043872e-01  
  7.245588116837e-02  ,1.318441036246e-01  
  7.255588116837e-02  ,1.318575857290e-01  
  7.265588116837e-02  ,1.313506975203e-01  
  7.275588116837e-02  ,1.303254394243e-01  
  7.285588116837e-02  ,1.287858576866e-01  
  7.295588116837e-02  ,1.267380283205e-01  
  7.305588116837e-02  ,1.241900331872e-01  
  7.315588116837e-02  ,1.211519280538e-01  
  7.325588116837e-02  ,1.176357029342e-01  
  7.335588116837e-02  ,1.136552347465e-01  
  7.345588116837e-02  ,1.092262326093e-01  
  7.355588116837e-02  ,1.043661757372e-01  
  7.365588116837e-02  ,9.909424459752e-02  
  7.375588116837e-02  ,9.343124505460e-02  
  7.385588116837e-02  ,8.739952637963e-02  
  7.395588116837e-02  ,8.102289304475e-02  
  7.405588116837e-02  ,7.432651069256e-02  
  7.415588116837e-02  ,6.733680690040e-02  
  7.425588116837e-02  ,6.008136676611e-02  
  7.435588116837e-02  ,5.258882430970e-02  
  7.445588116837e-02  ,4.488874909299e-02  
  7.455588116837e-02  ,3.701152980241e-02  
  7.465588116837e-02  ,2.898825424064e-02  
  7.475588116837e-02  ,2.085058660481e-02  
  7.485588116837e-02  ,1.263064253436e-02  
  7.495588116837e-02  ,4.360862437698e-03  
  7.505588116837e-02  ,-3.926116658922e-03  
  7.515588116837e-02  ,-1.219758989425e-02  
  7.525588116837e-02  ,-2.042091346082e-02  
  7.535588116837e-02  ,-2.856363367674e-02  
  7.545588116837e-02  ,-3.659361497609e-02  
  7.555588116837e-02  ,-4.447916667134e-02  
  7.565588116837e-02  ,-5.218916809112e-02  
  7.575588116837e-02  ,-5.969319139501e-02  
  7.585588116837e-02  ,-6.696162160204e-02  
  7.595588116837e-02  ,-7.396577356334e-02  
  7.605588116837e-02  ,-8.067800509316e-02  
  7.615588116837e-02  ,-8.707182608398e-02  
  7.625588116837e-02  ,-9.312200301112e-02  
  7.635588116837e-02  ,-9.880465863628e-02  
  7.645588116837e-02  ,-1.040973660737e-01  
  7.655588116837e-02  ,-1.089792374509e-01  
  7.665588116837e-02  ,-1.134310062569e-01  
  7.675588116837e-02  ,-1.174351033693e-01  
  7.685588116837e-02  ,-1.209757264222e-01  
  7.695588116837e-02  ,-1.240389022838e-01  
  7.705588116837e-02  ,-1.266125419361e-01  
  7.715588116837e-02  ,-1.286864883913e-01  
  7.725588116837e-02  ,-1.302525567435e-01  
  7.735588116837e-02  ,-1.313045664465e-01  
  7.745588116837e-02  ,-1.318383656834e-01  
  7.755588116837e-02  ,-1.318518477991e-01  
  7.765588116837e-02  ,-1.313449595950e-01  
  7.775588116837e-02  ,-1.303197015326e-01  
  7.785588116837e-02  ,-1.287801197807e-01  
  7.795588116837e-02  ,-1.267322904622e-01  
  7.805588116837e-02  ,-1.241842953574e-01  
  7.815588116837e-02  ,-1.211461902268e-01  
  7.825588116837e-02  ,-1.176299651071e-01  
  7.835588116837e-02  ,-1.136494969527e-01  
  7.845588116837e-02  ,-1.092204948129e-01  
  7.855588116837e-02  ,-1.043604379740e-01  
  7.865588116837e-02  ,-9.908850683148e-02  
  7.875588116837e-02  ,-9.342550730145e-02  
  7.885588116837e-02  ,-8.739378867450e-02  
  7.895588116837e-02  ,-8.101715534424e-02  
  7.905588116837e-02  ,-7.432077298998e-02  
  7.915588116837e-02  ,-6.733106916132e-02  
  7.925588116837e-02  ,-6.007562907584e-02  
  7.935588116837e-02  ,-5.258308654271e-02  
  7.945588116837e-02  ,-4.488301129782e-02  
  7.955588116837e-02  ,-3.700579201158e-02  
  7.965588116837e-02  ,-2.898251643278e-02  
  7.975588116837e-02  ,-2.084484878739e-02  
  7.985588116837e-02  ,-1.262490471802e-02  
  7.995588116837e-02  ,-4.355124597627e-03  
  8.005588116837e-02  ,3.931854536834e-03  
  8.015588116837e-02  ,1.220332775777e-02  
  8.025588116837e-02  ,2.042665133823e-02  
  8.035588116837e-02  ,2.856937158558e-02  
  8.045588116837e-02  ,3.659935289861e-02  
  8.055588116837e-02  ,4.448490459146e-02  
  8.065588116837e-02  ,5.219490602240e-02  
  8.075588116837e-02  ,5.969892931878e-02  
  8.085588116837e-02  ,6.696735956547e-02  
  8.095588116837e-02  ,7.397151153694e-02  
  8.105588116837e-02  ,8.068374308395e-02  
  8.115588116837e-02  ,8.707756406220e-02  
  8.125588116837e-02  ,9.312774100001e-02  
  8.135588116837e-02  ,9.881039662500e-02  
  8.145588116837e-02  ,1.041031040824e-01  
  8.155588116837e-02  ,1.089849754472e-01  
  8.165588116837e-02  ,1.134367442374e-01  
  8.175588116837e-02  ,1.174408413381e-01  
  8.185588116837e-02  ,1.209814644190e-01  
  8.195588116837e-02  ,1.240446402582e-01  
  8.205588116837e-02  ,1.266182798904e-01  
  8.215588116837e-02  ,1.286922263424e-01  
  8.225588116837e-02  ,1.302582946971e-01  
  8.235588116837e-02  ,1.313103043831e-01  
  8.245588116837e-02  ,1.318441036288e-01  
  8.255588116837e-02  ,1.318575857334e-01  
  8.265588116837e-02  ,1.313506975203e-01  
  8.275588116837e-02  ,1.303254394203e-01  
  8.285588116837e-02  ,1.287858576823e-01  
  8.295588116837e-02  ,1.267380283164e-01  
  8.305588116837e-02  ,1.241900331829e-01  
  8.315588116837e-02  ,1.211519280538e-01  
  8.325588116837e-02  ,1.176357029383e-01  
  8.335588116837e-02  ,1.136552347507e-01  
  8.345588116837e-02  ,1.092262326050e-01  
  8.355588116837e-02  ,1.043661757372e-01  
  8.365588116837e-02  ,9.909424459750e-02  
  8.375588116837e-02  ,9.343124505461e-02  
  8.385588116837e-02  ,8.739952637532e-02  
  8.395588116837e-02  ,8.102289304063e-02  
  8.405588116837e-02  ,7.432651069665e-02  
  8.415588116837e-02  ,6.733680690470e-02  
  8.425588116837e-02  ,6.008136677018e-02  
  8.435588116837e-02  ,5.258882430994e-02  
  8.445588116837e-02  ,4.488874909298e-02  
  8.455588116837e-02  ,3.701152979425e-02  
  8.465588116837e-02  ,2.898825424064e-02  
  8.475588116837e-02  ,2.085058660916e-02  
  8.485588116837e-02  ,1.263064253838e-02  
  8.495588116837e-02  ,4.360862437726e-03  
  8.505588116837e-02  ,-3.926116658959e-03  
  8.515588116837e-02  ,-1.219758988565e-02  
  8.525588116837e-02  ,-2.042091345262e-02  
